Player_ID,Gaming_Time_Hours_per_Day,Reaction_Time_ms,Energy_Drinks_Cans_per_Day,Practice_Days_per_Week,Sleep_Hours_per_Day,Game_Rank_Score_Percent
1,5.5,156,2,2,5.3,71.5
2,5.7,378,4,1,7.5,51.9
3,1.7,209,4,5,4.2,56.5
4,5.5,289,3,2,6.7,60.6
5,7.1,344,1,6,6.5,71.2
6,2.5,345,2,1,4.6,33.6
7,6.9,304,2,7,4.3,75.5
8,1.9,386,3,1,7.3,42.1
9,5.3,370,2,5,5.2,55.7
10,5.6,347,2,1,9.1,62.5
11,3.7,266,2,2,6.2,52.0
12,2.9,389,0,5,7.8,51.4
13,2.7,268,3,3,9.9,64.1
14,4.9,325,2,7,8.6,70.4
15,6.8,356,2,4,5.6,62.0
16,7.6,374,2,2,7.9,64.2
17,7.4,267,1,3,4.8,70.8
18,4.8,341,4,4,9.4,67.7
19,2.5,185,4,4,4.5,57.7
20,1.8,310,1,7,8.1,62.1
21,3.7,302,3,5,5.5,61.7
22,7.6,324,0,6,9.3,83.6
23,6.4,237,0,3,6.6,68.4
24,7.7,374,2,5,8.6,76.2
25,1.7,310,2,7,7.8,62.7
26,2.1,345,1,5,9.7,60.9
27,7.4,303,2,4,4.1,72.9
28,7.2,362,2,2,4.3,61.2
29,7.6,171,3,7,4.4,93.6
30,6.4,182,3,5,5.0,80.8
31,5.2,396,1,5,8.5,64.5
32,6.0,252,2,4,9.4,77.2
33,2.7,166,2,1,7.5,55.8
34,2.5,168,0,2,4.4,46.7
35,3.3,281,1,3,8.0,54.4
36,1.9,389,4,5,6.8,53.9
37,6.7,198,0,1,8.0,68.5
38,3.9,371,0,6,7.9,61.2
39,1.4,336,2,7,9.2,58.6
40,2.3,264,1,4,5.1,51.4
41,7.1,169,3,7,9.2,99.3
42,1.4,288,0,1,9.6,48.2
43,2.2,274,3,2,9.2,59.8
44,2.2,150,3,3,9.6,72.4
45,3.0,328,4,6,8.3,62.9
46,3.1,397,0,5,8.4,48.0
47,3.2,162,4,4,7.0,75.4
48,2.1,395,4,1,9.1,39.7
49,1.5,370,1,4,4.7,43.2
50,2.7,302,0,5,4.5,52.2
