Song_ID,Listening_Time_Hours_Per_Day,Playlist_Shares_Count,Social_Media_Posts_Count,Artist_Promotions_Count,Fan_Engagement_Rate_Percent,Song_Popularity_Score_Percent
1,5.5,8,9,4,29.0,59.9
2,5.7,74,3,10,45.9,75.6
3,2.5,69,20,1,57.7,77.0
4,5.9,58,8,8,60.1,89.8
5,1.0,25,14,6,33.6,46.4
6,6.3,18,3,7,18.2,60.0
7,5.2,10,15,9,20.6,72.0
8,1.6,42,20,15,83.2,97.0
9,5.9,10,8,13,34.6,70.2
10,2.6,17,13,5,48.5,62.2
11,2.1,50,7,11,32.7,62.8
12,5.5,82,6,9,72.0,90.0
13,3.7,86,18,4,68.2,94.0
14,6.4,34,2,13,36.8,73.1
15,2.5,77,11,4,65.7,72.3
16,7.4,63,5,5,21.9,74.3
17,4.8,100,19,7,86.3,100.0
18,2.5,22,17,8,17.7,51.9
19,1.8,85,6,13,67.8,80.8
20,3.7,81,15,9,31.4,79.3
21,7.6,92,4,11,85.2,100.0
22,6.4,48,4,5,47.0,72.2
23,7.7,97,9,9,74.8,100.0
24,1.7,85,10,14,64.3,85.3
25,2.1,25,18,13,88.4,96.1
26,5.2,67,1,2,89.0,83.0
27,6.8,44,8,1,30.5,66.8
28,1.6,98,16,14,15.9,76.8
29,6.4,21,16,9,24.0,78.8
30,5.2,32,18,13,72.0,99.3
31,3.2,90,12,8,86.5,94.5
32,2.7,13,11,1,60.0,52.1
33,2.5,14,2,4,15.7,25.3
34,3.3,70,8,5,66.9,71.5
35,1.9,78,19,8,30.7,71.9
36,3.8,17,4,11,46.6,61.6
37,4.3,98,2,11,65.5,87.7
38,1.4,98,11,13,83.2,90.1
39,2.3,62,5,7,25.6,50.3
40,7.1,14,15,13,83.2,100.0
41,1.4,74,1,2,88.7,65.0
42,2.2,67,16,4,83.5,87.0
43,2.2,5,13,5,88.8,73.5
44,3.0,94,18,11,71.1,96.9
45,3.1,12,19,12,56.1,83.6
46,1.4,79,16,9,88.1,91.1
47,1.4,70,3,14,25.8,56.9
48,5.7,35,13,2,90.0,90.8
49,5.1,10,20,2,45.6,73.6
50,4.7,38,7,11,70.9,81.7
