Student_ID,Study_Time_Hours,Project_Difficulty_Level_1_to_10,Practice_Exercises_Completed_Count,Final_Project_Score_Percent
1,6.5,1,11,88.4
2,3.6,2,10,74.5
3,5.8,10,6,60.1
4,2.7,4,8,61.7
5,5.9,9,6,63.8
6,6.1,1,12,93.7
7,6.9,6,4,68.0
8,8.7,6,1,70.5
9,2.7,6,9,57.8
10,2.3,8,8,49.6
11,8.5,2,8,91.3
12,6.4,6,9,76.3
13,2.5,4,12,65.9
14,2.6,4,1,44.2
15,5.2,6,2,57.1
16,3.5,5,11,74.2
17,6.5,10,10,73.5
18,7.1,3,7,81.5
19,8.9,9,3,77.7
20,7.9,1,3,84.3
21,7.6,7,4,69.5
22,8.4,10,11,86.9
23,6.6,7,10,80.8
24,3.9,4,11,73.8
25,3.8,10,6,58.3
26,4.8,4,2,59.1
27,2.6,1,1,45.8
28,3.1,7,9,56.6
29,4.7,8,8,63.4
30,5.9,1,10,87.6
31,6.8,9,12,81.5
32,6.5,2,4,73.9
33,5.2,5,8,75.0
34,5.6,2,10,80.5
35,6.5,10,3,58.6
36,7.3,9,12,90.7
37,8.4,10,5,76.1
38,2.8,6,12,65.0
39,2.4,10,1,32.4
40,5.4,2,12,86.0
41,2.9,8,8,53.1
42,5.7,10,6,68.9
43,8.5,4,11,95.2
44,9.0,6,7,92.7
45,5.2,4,3,58.8
46,2.1,9,3,41.4
47,2.1,1,3,46.6
48,2.2,6,1,40.9
49,3.9,8,3,51.6
50,7.1,10,9,77.5
